id,codebleu,ngram_match_score,weighted_ngram_match_score,syntax_match_score,dataflow_match_score
solution_P04,0.6164383281150824,0.45023985863225896,0.5091510141615501,0.8837209302325582,0.6226415094339622
solution_P06,0.23410867385391126,0.05398405115570802,0.11578397759327042,0.6133333333333333,0.15333333333333332
solution_P02,0.4872012855045911,0.17095840222989359,0.3001877067095905,0.7709923664122137,0.7066666666666667
solution_P19,0.2700624865629565,0.03684647951265158,0.0906258485395995,0.7100591715976331,0.24271844660194175
solution_P01,0.6474884687168988,0.4829436231724336,0.49794958323325755,0.897196261682243,0.711864406779661
solution_P03,0.13108042703861747,0.0010631498656461613,0.024109471546220798,0.42144638403990026,0.0777027027027027
solution_P16,0.34823601757770273,0.11899708673245124,0.1926661954010198,0.7241379310344828,0.35714285714285715
solution_P14,0.3154907208621622,0.08738310899207312,0.1345198343966355,0.7153846153846154,0.3246753246753247
solution_P10,0.19283168892800417,0.029790438383194902,0.045451593323687145,0.4329268292682927,0.2631578947368421
solution_P15,0.3079042990202111,0.10615233300767203,0.12186851310001082,0.6826086956521739,0.32098765432098764
solution_P17,0.20615633753933707,0.0008713409812609483,0.050028463653137706,0.6591422121896162,0.11458333333333333
solution_P13,0.5085131003762765,0.3594967180190622,0.3708841334770006,0.7422680412371134,0.5614035087719298
solution_P08,0.25404810479209794,0.12441082627654068,0.17209578042253337,0.5238095238095238,0.1958762886597938
solution_P11,0.21481169708225706,0.07797977014348247,0.11182257374110138,0.4777777777777778,0.19166666666666668
